,PMID,Full_author_name
17,26579590,"grönvall, erik/split/2 it university of copenhagen , copenhagen, denmark ."
17,26579590,"spindler, helle/split/3 department of psychology and behavioral sciences, aarhus university , aarhus,  denmark ."
17,26579590,"hansen, john/split/4 laboratory for telehealth and telerehabilitation, center for sensory-motor  interaction, department for health science and technology, aalborg university , aalborg, denmark ."
17,26579590,"nielsen, gitte/split/5 cardiotechnology laboratory, medical informatics, department for health science  and technology, aalborg university , aalborg, denmark ."
17,26579590,"sørensen, stine bæk/split/6 vendsyssel hospital , hjørring, denmark ."
17,26579590,"dinesen, birthe/split/4 laboratory for telehealth and telerehabilitation, center for sensory-motor  interaction, department for health science and technology, aalborg university , aalborg, denmark ."
18,26915366,"hwang, rita/split/1 department of physiotherapy, princess alexandra hospital, metro south health,  queensland, australia./split/2 physiotherapy, school of health and rehabilitation sciences, the university of  queensland, queensland, australia."
18,26915366,"mandrusiak, allison/split/2 physiotherapy, school of health and rehabilitation sciences, the university of  queensland, queensland, australia."
18,26915366,"morris, norman r/split/3 the menzies health institute queensland, griffith university, queensland,  australia./split/4 the school of allied health sciences, griffith university, queensland,  australia."
18,26915366,"peters, robyn/split/5 department of cardiology, princess alexandra hospital, metro south health,  queensland, australia./split/6 school of nursing, the university of queensland, queensland, australia."
18,26915366,"korczyk, dariusz/split/5 department of cardiology, princess alexandra hospital, metro south health,  queensland, australia."
18,26915366,"russell, trevor/split/2 physiotherapy, school of health and rehabilitation sciences, the university of  queensland, queensland, australia."
19,25261268,"piotrowicz, ewa/split/telecardiology center, institute of cardiology, poland epiotrowicz@ikard.pl."
19,25261268,"zieliński, tomasz/split/department of heart failure and transplantology, institute of cardiology, poland."
19,25261268,"bodalski, robert/split/department of arrhythmia, institute of cardiology, poland."
19,25261268,"rywik, tomasz/split/department of heart failure and transplantology, institute of cardiology, poland."
19,25261268,"dobraszkiewicz-wasilewska, barbara/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, poland."
19,25261268,"sobieszczańska-małek, małgorzata/split/department of heart failure and transplantology, institute of cardiology, poland."
19,25261268,"stepnowska, monika/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, poland."
19,25261268,"przybylski, andrzej/split/department of arrhythmia, institute of cardiology, poland."
19,25261268,"browarek, aldona/split/department of heart failure and transplantology, institute of cardiology, poland."
19,25261268,"szumowski, łukasz/split/department of arrhythmia, institute of cardiology, poland."
19,25261268,"piotrowski, walerian/split/statistics laboratory, institute of cardiology, poland."
19,25261268,"piotrowicz, ryszard/split/department of cardiac rehabilitation and noninvasive electrocardiology, institute  of cardiology, poland."
20,28143388,"brouwers, rutger w m/split/department of cardiology, máxima medical centre, eindhoven/veldhoven, the  netherlands. r.brouwers@mmc.nl./split/flow centre for rehabilitation and prevention in chronic disease, máxima medical  centre, eindhoven/veldhoven, the netherlands. r.brouwers@mmc.nl."
20,28143388,"kraal, jos j/split/flow centre for rehabilitation and prevention in chronic disease, máxima medical  centre, eindhoven/veldhoven, the netherlands."
20,28143388,"traa, simone c j/split/flow centre for rehabilitation and prevention in chronic disease, máxima medical  centre, eindhoven/veldhoven, the netherlands./split/department of medical psychology, máxima medical centre, eindhoven/veldhoven, the  netherlands."
20,28143388,"spee, ruud f/split/department of cardiology, máxima medical centre, eindhoven/veldhoven, the  netherlands./split/flow centre for rehabilitation and prevention in chronic disease, máxima medical  centre, eindhoven/veldhoven, the netherlands."
20,28143388,"oostveen, laurence m l c/split/flow centre for rehabilitation and prevention in chronic disease, máxima medical  centre, eindhoven/veldhoven, the netherlands."
20,28143388,"kemps, hareld m c/split/department of cardiology, máxima medical centre, eindhoven/veldhoven, the  netherlands./split/flow centre for rehabilitation and prevention in chronic disease, máxima medical  centre, eindhoven/veldhoven, the netherlands."
21,30170422,"peng, xingchen/split/department of medical oncology, cancer center, state key laboratory of  biotherapy, west china hospital administration center of medicine, sichuan university school of nursing, chengdu university of traditional chinese medicine, chengdu, sichuan xiangya school of medicine, central south university, changsha, hunan department of nursing, west china hospital, sichuan university, chengdu, sichuan frances payne bolton school of nursing, case western reserve university, cleveland, oh department of cardiology, west china hospital, sichuan university, chengdu, sichuan, people's republic of china."
21,30170422,"su, yonglin"
21,30170422,"hu, zhonghua"
21,30170422,"sun, xiye"
21,30170422,"li, xiaoping"
21,30170422,"dolansky, mary a"
21,30170422,"qu, moying"
21,30170422,"hu, xiaolin"
22,28985325,"bernocchi, palmira/split/care continuity unit and telemedicine service, istituti clinici scientifici  maugeri irccs, lumezzane, brescia, italy."
22,28985325,"vitacca, michele/split/respiratory rehabilitation division, istituti clinici scientifici maugeri irccs,  lumezzane, brescia, italy."
22,28985325,"la rovere, maria teresa/split/cardiac rehabilitation division, istituti clinici scientifici maugeri irccs,  montescano, pavia,italy."
22,28985325,"volterrani, maurizio/split/cardiology department, san raffaele pisana irccs, roma, italy."
22,28985325,"galli, tiziana/split/respiratory rehabilitation division, istituti clinici scientifici maugeri irccs,  lumezzane, brescia, italy."
22,28985325,"baratti, doriana/split/care continuity unit and telemedicine service, istituti clinici scientifici  maugeri irccs, lumezzane, brescia, italy."
22,28985325,"paneroni, mara/split/respiratory rehabilitation division, istituti clinici scientifici maugeri irccs,  lumezzane, brescia, italy."
22,28985325,"campolongo, giuseppe/split/cardiology department, san raffaele pisana irccs, roma, italy."
22,28985325,"sposato, barbara/split/cardiology department, san raffaele pisana irccs, roma, italy."
22,28985325,"scalvini, simonetta/split/care continuity unit and telemedicine service, istituti clinici scientifici  maugeri irccs, lumezzane, brescia, italy./split/cardiac rehabilitation division, istituti clinici scientifici maugeri irccs,  lumezzane, brescia, italy."
23,28336297,"hwang, rita/split/department of physiotherapy, princess alexandra hospital, metro south health,  brisbane; physiotherapy, school of health & rehabilitation sciences, the university of queensland, brisbane."
23,28336297,"bruning, jared/split/department of physiotherapy, heart failure support service, the prince charles  hospital, brisbane."
23,28336297,"morris, norman r/split/the menzies health institute queensland, griffith university, gold coast; the  school of allied health sciences, griffith university, gold coast; allied health research collaborative, the prince charles hospital, brisbane."
23,28336297,"mandrusiak, allison/split/physiotherapy, school of health & rehabilitation sciences, the university of  queensland, brisbane."
23,28336297,"russell, trevor/split/physiotherapy, school of health & rehabilitation sciences, the university of  queensland, brisbane; centre for research excellence in telehealth, the university of queensland, brisbane, australia."
24,30274638,"lear, scott a/split/faculty of health sciences, simon fraser university, burnaby, british columbia,  canada, division of cardiology, providence health care, vancouver, british columbia, canada, and department of medicine, faculty of medicine, university of british columbia, vancouver, canada. electronic address: slear@providencehealth.bc.ca."
25,30134780,"laustsen, sussie/split/department of cardiothoracic and vascular surgery, aarhus university hospital,  denmark./split/department of clinical medicine, aarhus university, denmark."
25,30134780,"oestergaard, lisa g/split/department of clinical medicine, aarhus university, denmark./split/department of physiotherapy and occupational therapy, aarhus university hospital,  denmark./split/department of public health, aarhus university, denmark."
25,30134780,"van tulder, maurits/split/department of physiotherapy and occupational therapy, aarhus university hospital,  denmark./split/department of health sciences, vrije universiteit amsterdam, the netherlands."
25,30134780,"hjortdal, vibeke e/split/department of cardiothoracic and vascular surgery, aarhus university hospital,  denmark."
25,30134780,"petersen, annemette k/split/department of clinical medicine, aarhus university, denmark./split/department of physiotherapy and occupational therapy, aarhus university hospital,  denmark."
26,28799460,"frederix, ines/split/a department of cardiology , jessa hospital , hasselt , belgium./split/b faculty of medicine & life sciences , hasselt university , diepenbeek ,  belgium./split/c faculty of medicine & health sciences , antwerp university , wilrijk , belgium."
26,28799460,"vandijck, dominique/split/b faculty of medicine & life sciences , hasselt university , diepenbeek ,  belgium."
26,28799460,"hens, niel/split/c faculty of medicine & health sciences , antwerp university , wilrijk , belgium./split/d interuniversity institute of biostatistics and statistical bioinformatics ,  hasselt university , diepenbeek , belgium./split/e centre for health economic research and modelling infectious diseases, vaccine  and infectious disease institute, university of antwerp , wilrijk , belgium."
26,28799460,"de sutter, johan/split/f department of cardiology , az maria middelares , gent , belgium./split/g ghent university , ghent , belgium."
26,28799460,"dendale, paul/split/a department of cardiology , jessa hospital , hasselt , belgium./split/b faculty of medicine & life sciences , hasselt university , diepenbeek ,  belgium."
27,30251248,"wu, congyin/split/people's hospital of hainan province, department of healthcare center, people's  hospital of hainan province, people's republic of china, china. congyinwu1x@gmail.com."
27,30251248,"li, yan"
27,30251248,"chen, juan"
28,29305064,"melholt, camilla/split/laboratory of welfare technologies  department of health science and technology, faculty of medicine, aalborg university, denmark. electronic address: calm@hst.aau.dk."
28,29305064,"joensson, katrine/split/laboratory of welfare technologies  department of health science and technology, faculty of medicine, aalborg university, denmark."
28,29305064,"spindler, helle/split/department of psychology and behavioral sciences, aarhus graduate school of  business and social sciences, aarhus university, denmark."
28,29305064,"hansen, john/split/laboratory of welfare technologies  department of health science and technology, faculty of medicine, aalborg university, denmark; laboratory for cardio-technology, medical informatics group, department of health science and technology, faculty of medicine, aalborg university, denmark."
28,29305064,"andreasen, jan jesper/split/department of cardiothoracic surgery, aalborg university hospital, aalborg,  denmark; department of clinical medicine, aalborg university, denmark."
28,29305064,"nielsen, gitte/split/department of cardiology, north denmark regional hospital, hjoerring, denmark."
28,29305064,"noergaard, astrid/split/laboratory of welfare technologies  department of health science and technology, faculty of medicine, aalborg university, denmark."
28,29305064,"tracey, anita/split/department of cardiothoracic surgery, aalborg university hospital, aalborg,  denmark."
28,29305064,"thorup, charlotte/split/department of cardiothoracic surgery, aalborg university hospital, aalborg,  denmark; department of clinical medicine, aalborg university, denmark."
28,29305064,"kringelholt, rikke/split/department of cardiology, north denmark regional hospital, hjoerring, denmark."
28,29305064,"dinesen, birthe irene/split/laboratory of welfare technologies  department of health science and technology, faculty of medicine, aalborg university, denmark."
29,30076800,"rawstorn, jonathan c/split/national institute for health innovation, university of auckland, auckland, new  zealand; department of exercise sciences, university of auckland, auckland, new zealand; institute for physical activity and nutrition, deakin university, geelong, australia. electronic address: jonathan.rawstorn@deakin.edu.au."
29,30076800,"gant, nicholas/split/department of exercise sciences, university of auckland, auckland, new zealand."
29,30076800,"rolleston, anna/split/the center for health, tauranga, new zealand."
29,30076800,"whittaker, robyn/split/national institute for health innovation, university of auckland, auckland, new  zealand."
29,30076800,"stewart, ralph/split/department of cardiology, auckland city hospital, auckland, new zealand."
29,30076800,"benatar, jocelyn/split/department of cardiology, auckland city hospital, auckland, new zealand."
29,30076800,"warren, ian/split/department of computer science, university of auckland, auckland, new zealand."
29,30076800,"meads, andrew/split/department of computer science, university of auckland, auckland, new zealand."
29,30076800,"jiang, yannan/split/national institute for health innovation, university of auckland, auckland, new  zealand."
29,30076800,"maddison, ralph/split/national institute for health innovation, university of auckland, auckland, new  zealand; institute for physical activity and nutrition, deakin university, geelong, australia."
30,28441928,"blacquiere, dylan/split/1 department of neurology, saint john regional hospital, new brunswick, canada./split/2 faculty of medicine, dalhousie university, nova scotia, canada."
30,28441928,"lindsay, m patrice/split/3 heart and stroke foundation, toronto, ontario, canada."
30,28441928,"foley, norine/split/4 workhorse consulting, london, ontario, canada./split/5 western university, london, ontario, canada."
30,28441928,"taralson, colleen/split/6 university hospital, edmonton, alberta, canada."
30,28441928,"alcock, susan/split/7 manitoba health, winnipeg, manitoba, canada."
30,28441928,"balg, catherine/split/8 chu de québec-université laval, québec, canada."
30,28441928,"bhogal, sanjit/split/4 workhorse consulting, london, ontario, canada."
30,28441928,"cole, julie/split/9 department of health, charlottetown, prince edward island, canada."
30,28441928,"eustace, marsha/split/10 health sciences centre, st. john's, newfoundland and labrador, canada."
30,28441928,"gallagher, patricia/split/1 department of neurology, saint john regional hospital, new brunswick, canada."
30,28441928,"ghanem, antoinette/split/11 resau universitaire de sante mcgill university, montreal, quebec, canada."
30,28441928,"hoechsmann, alexander/split/12 island health, british columbia, canada."
30,28441928,"hunter, gary/split/13 department of medicine, division of neurology, neurology and neurocritical  care, university of saskatchewan, saskatoon, canada."
30,28441928,"khan, khurshid/split/6 university hospital, edmonton, alberta, canada./split/14 university of alberta, alberta, canada."
30,28441928,"marrero, alier/split/15 dr. georges-l.-dumont university hospital centre, moncton, new brunswick,  canada."
30,28441928,"moses, brian/split/16 yarmouth regional hospital, nova scotia, canada."
30,28441928,"rayner, kelley/split/17 queen elizabeth hospital, charlottetown, prince edward island, canada."
30,28441928,"samis, andrew/split/18 quinte health care, belleville ontario, canada./split/19 queen's university, kingston, ontario, canada."
30,28441928,"smitko, elisabeth/split/3 heart and stroke foundation, toronto, ontario, canada."
30,28441928,"vibe, marilyn/split/20 ontario telemedicine network, toronto, ontario, canada."
30,28441928,"gubitz, gord/split/2 faculty of medicine, dalhousie university, nova scotia, canada./split/21 queen elizabeth ii health sciences centre, capital district health authority,  nova scotia, canada."
30,28441928,"dowlatshahi, dariush/split/22 the ottawa hospital stroke program, canada./split/23 faculty of medicine, university of ottawa, ontario, canada."
30,28441928,"phillips, stephen/split/2 faculty of medicine, dalhousie university, nova scotia, canada./split/21 queen elizabeth ii health sciences centre, capital district health authority,  nova scotia, canada."
30,28441928,"silver, frank l/split/24 university health network stroke program, toronto, ontario, canada./split/25 faculty of medicine, university of toronto, toronto, canada."
31,30192210,"fang, jiaying/split/1 department of medical, huadu district people's hospital of guangzhou ,  guangdong, china ./split/2 department of preventive medicine, shantou university medical college ,  shantou, china ."
31,30192210,"huang, bin/split/1 department of medical, huadu district people's hospital of guangzhou ,  guangdong, china ."
31,30192210,"xu, duanmin/split/3 department of cardiology, first affiliated hospital of shantou university  medical college , shantou, china ."
31,30192210,"li, jilin/split/3 department of cardiology, first affiliated hospital of shantou university  medical college , shantou, china ."
31,30192210,"au, william w/split/2 department of preventive medicine, shantou university medical college ,  shantou, china ."
32,28667228,"claes, jomme/split/department of cardiovascular sciences, ku leuven, leuven, belgium."
32,28667228,"buys, roselien/split/department of cardiovascular sciences, ku leuven, leuven, belgium."
32,28667228,"woods, catherine/split/department of physical education and sport sciences, university of limerick,  limerick, ireland."
32,28667228,"briggs, andrew/split/university of glasgow, institute of health and wellbeing, glasgow, scotland."
32,28667228,"geue, claudia/split/university of glasgow, institute of health and wellbeing, glasgow, scotland."
32,28667228,"aitken, moira/split/university of glasgow, institute of health and wellbeing, glasgow, scotland."
32,28667228,"moyna, niall/split/department of health & human performance, dublin city university, dublin,  ireland."
32,28667228,"moran, kieran/split/department of health & human performance, dublin city university, dublin,  ireland."
32,28667228,"mccaffrey, noel/split/department of health & human performance, dublin city university, dublin,  ireland."
32,28667228,"chouvarda, ioanna/split/centre for research and technology, institute of applied biosciences, hellas,  greece."
32,28667228,"walsh, deirdre/split/department of health & human performance, dublin city university, dublin,  ireland."
32,28667228,"budts, werner/split/department of cardiovascular sciences, ku leuven, leuven, belgium./split/division of cardiology, university hospitals leuven, leuven, belgium."
32,28667228,"filos, dimitris/split/centre for research and technology, institute of applied biosciences, hellas,  greece."
32,28667228,"triantafyllidis, andreas/split/centre for research and technology, institute of applied biosciences, hellas,  greece."
32,28667228,"maglaveras, nicos/split/centre for research and technology, institute of applied biosciences, hellas,  greece."
32,28667228,"cornelissen, véronique a/split/department of rehabilitation sciences, ku leuven, leuven, belgium."
33,28925749,"frederix, ines/split/1 faculty of medicine and life sciences, hasselt university, belgium./split/2 department of cardiology, jessa hospital, belgium./split/3 faculty of medicine and health sciences, antwerp university, belgium."
33,28925749,"solmi, francesca/split/4 institute for biostatistics and statistical bioinformatics, hasselt university,  belgium."
33,28925749,"piepoli, massimo f/split/5 heart failure unit, guglielmo da saliceto polichirurgico hospital ausl  piacenza, italy."
