,PMID,Mesh_terms
6,25948479,quality of life
6,25948479,smoking cessation
6,25948479,telerehabilitation/*methods pmc
7,26034937,coronary artery disease/*rehabilitation
7,26034937,exercise therapy
7,26034937,heart failure/*rehabilitation
7,26034937,humans
7,26034937,quality of life
7,26034937,respiration disorders/*rehabilitation
7,26034937,*telerehabilitation
8,26206311,adult
8,26206311,coronary artery disease/*rehabilitation
8,26206311,exercise
8,26206311,female
8,26206311,humans
8,26206311,internet
8,26206311,male
8,26206311,middle aged
8,26206311,prospective studies
8,26206311,quality of life
8,26206311,rehabilitation centers
8,26206311,surveys and questionnaires
8,26206311,telerehabilitation/*methods
8,26206311,*text messaging pmc
9,26713491,adult
9,26713491,aged
9,26713491,"aged, 80 and over"
9,26713491,blood pressure
9,26713491,body weight
9,26713491,cardiac rehabilitation/*economics/*methods
9,26713491,cost-benefit analysis
9,26713491,female
9,26713491,humans
9,26713491,male
9,26713491,middle aged
9,26713491,pulse
9,26713491,quality of life
9,26713491,quality-adjusted life years
9,26713491,remote sensing technology
9,26713491,telerehabilitation/*economics/*statistics & numerical data pmc
10,27044310,*actigraphy
10,27044310,aged
10,27044310,denmark
10,27044310,female
10,27044310,heart diseases/*rehabilitation
10,27044310,humans
10,27044310,internet
10,27044310,male
10,27044310,middle aged
10,27044310,motivation
10,27044310,randomized controlled trials as topic
10,27044310,*telerehabilitation
10,27044310,*walking pmc
11,26340910,clinical trials as topic
11,26340910,*evidence-based medicine
11,26340910,heart diseases/diagnosis/physiopathology/*rehabilitation
11,26340910,humans
11,26340910,patient compliance
11,26340910,rehabilitation centers/*organization & administration
11,26340910,telerehabilitation/*organization & administration
11,26340910,treatment outcome
12,25588535,ambulatory care
12,25588535,electrocardiography
12,25588535,exercise test
12,25588535,exercise therapy/*methods
12,25588535,exercise tolerance
12,25588535,female
12,25588535,"home care services, hospital-based"
12,25588535,humans
12,25588535,male
12,25588535,middle aged
12,25588535,myocardial infarction/diagnosis/physiopathology/*rehabilitation
12,25588535,patient compliance
12,25588535,recovery of function
12,25588535,return to work
12,25588535,sex factors
12,25588535,systole
12,25588535,telerehabilitation
12,25588535,time factors
12,25588535,treatment outcome
12,25588535,"ventricular function, left"
13,27657799,belgium
13,27657799,coronary artery disease/*rehabilitation
13,27657799,humans
13,27657799,*internet
13,27657799,linear models
13,27657799,*patient education as topic
13,27657799,prospective studies
13,27657799,quality of life
13,27657799,research design
13,27657799,surveys and questionnaires
13,27657799,telerehabilitation/*methods
14,24849304,adult
14,24849304,aged
14,24849304,ambulatory care/*methods
14,24849304,analysis of variance
14,24849304,exercise therapy/methods
14,24849304,heart failure/diagnosis/*rehabilitation
14,24849304,home care services
14,24849304,humans
14,24849304,middle aged
14,24849304,outpatients/statistics & numerical data
14,24849304,prospective studies
14,24849304,*quality of life
14,24849304,telerehabilitation/*methods
14,24849304,treatment outcome
15,26524699,autonomic nervous system/physiopathology
15,26524699,depression/*psychology/*rehabilitation
15,26524699,"electrocardiography, ambulatory"
15,26524699,exercise therapy/*methods
15,26524699,female
15,26524699,heart failure/physiopathology/*psychology/*rehabilitation
15,26524699,heart rate determination
15,26524699,humans
15,26524699,male
15,26524699,middle aged
15,26524699,prospective studies
15,26524699,*telerehabilitation
15,26524699,treatment outcome pmc
16,26888420,adult
16,26888420,aged
16,26888420,exercise/physiology
16,26888420,exercise therapy/*methods
16,26888420,feasibility studies
16,26888420,female
16,26888420,health status
16,26888420,humans
16,26888420,male
16,26888420,middle aged
16,26888420,patient compliance
16,26888420,pilot projects
16,26888420,"pulmonary disease, chronic obstructive/physiopathology/*rehabilitation"
16,26888420,quality of life
16,26888420,self care/methods
16,26888420,telerehabilitation/*methods
16,26888420,videoconferencing
17,26579590,aged
17,26579590,angina pectoris/*rehabilitation
17,26579590,denmark
17,26579590,heart failure/*rehabilitation
17,26579590,humans
17,26579590,middle aged
17,26579590,*mobile applications
17,26579590,myocardial infarction/*rehabilitation
17,26579590,telerehabilitation/*methods
17,26579590,*video games pmc
18,26915366,activities of daily living
18,26915366,aged
18,26915366,chronic disease
18,26915366,exercise test/*methods
18,26915366,female
18,26915366,hand strength
18,26915366,heart failure/diagnosis/physiopathology/*rehabilitation
18,26915366,humans
18,26915366,male
18,26915366,observer variation
18,26915366,reproducibility of results
18,26915366,telerehabilitation/*methods
18,26915366,walking
19,25261268,adult
19,25261268,aged
19,25261268,*cardiac resynchronization therapy
19,25261268,*cardiac resynchronization therapy devices
19,25261268,"*defibrillators, implantable"
19,25261268,electric countershock/*instrumentation
19,25261268,exercise test
19,25261268,exercise therapy/*methods
19,25261268,exercise tolerance
19,25261268,female
19,25261268,heart failure/diagnosis/physiopathology/*rehabilitation
19,25261268,"*home care services, hospital-based"
19,25261268,humans
19,25261268,male
19,25261268,middle aged
19,25261268,oxygen consumption
19,25261268,*patient compliance
19,25261268,poland
19,25261268,prospective studies
19,25261268,quality of life
19,25261268,recovery of function
19,25261268,stroke volume
19,25261268,surveys and questionnaires
19,25261268,telerehabilitation/*methods
19,25261268,time factors
19,25261268,treatment outcome
19,25261268,"ventricular function, left"
19,25261268,*walking
20,28143388,actigraphy/instrumentation
20,28143388,attitude to computers
20,28143388,cardiac rehabilitation/economics/*methods
20,28143388,clinical protocols
20,28143388,coronary artery disease/diagnosis/physiopathology/psychology/*rehabilitation
20,28143388,cost-benefit analysis
20,28143388,electrocardiography/instrumentation
20,28143388,exercise
20,28143388,exercise therapy/economics/*methods
20,28143388,*health behavior
20,28143388,health care costs
20,28143388,"health knowledge, attitudes, practice"
20,28143388,heart rate
20,28143388,humans
20,28143388,*internet
20,28143388,motivational interviewing
20,28143388,netherlands
20,28143388,patient compliance
20,28143388,patient education as topic
20,28143388,predictive value of tests
20,28143388,recovery of function
20,28143388,remote sensing technology
20,28143388,research design
20,28143388,*self care/economics
20,28143388,telemetry/instrumentation
20,28143388,telerehabilitation/economics/*methods
20,28143388,time factors
20,28143388,treatment outcome
20,28143388,videoconferencing pmc
21,30170422,aged
21,30170422,cardiac rehabilitation/*methods
21,30170422,china
21,30170422,exercise therapy/*methods
21,30170422,exercise tolerance
21,30170422,female
21,30170422,heart failure/*rehabilitation
21,30170422,heart rate
21,30170422,humans
21,30170422,male
21,30170422,mental health
21,30170422,middle aged
21,30170422,prospective studies
21,30170422,quality of life
21,30170422,severity of illness index
21,30170422,socioeconomic factors
21,30170422,telerehabilitation/*methods
21,30170422,"ventricular function, left pmc cois"
22,28985325,age factors
22,28985325,aged
22,28985325,"aged, 80 and over"
22,28985325,cardiac rehabilitation/adverse effects/*methods/mortality
22,28985325,disability evaluation
22,28985325,exercise therapy/adverse effects/*methods/mortality
22,28985325,exercise tolerance
22,28985325,feasibility studies
22,28985325,female
22,28985325,geriatric assessment/methods
22,28985325,heart failure/diagnosis/mortality/physiopathology/*rehabilitation
22,28985325,"*home care services, hospital-based"
22,28985325,humans
22,28985325,italy
22,28985325,kaplan-meier estimate
22,28985325,male
22,28985325,middle aged
22,28985325,patient admission
22,28985325,"pulmonary disease, chronic  obstructive/diagnosis/mortality/physiopathology/*rehabilitation"
22,28985325,quality of life
22,28985325,recovery of function
22,28985325,respiratory therapy/adverse effects/*methods/mortality
22,28985325,risk factors
22,28985325,surveys and questionnaires
22,28985325,telerehabilitation/*methods
22,28985325,time factors
22,28985325,treatment outcome
22,28985325,walk test
23,28336297,aged
23,28336297,australia
23,28336297,cardiac rehabilitation/*methods
23,28336297,exercise therapy/*methods
23,28336297,female
23,28336297,heart failure/*rehabilitation
23,28336297,home care services
23,28336297,humans
23,28336297,male
23,28336297,middle aged
23,28336297,muscle strength
23,28336297,patient reported outcome measures
23,28336297,patient satisfaction
23,28336297,physical endurance
23,28336297,physical therapy modalities
23,28336297,telerehabilitation/*methods
23,28336297,"therapy, computer-assisted/*methods"
23,28336297,treatment outcome
24,30274638,cardiac rehabilitation/*methods
24,30274638,cardiovascular diseases/*prevention & control
24,30274638,humans
24,30274638,secondary prevention
24,30274638,telerehabilitation/*methods
25,30134780,adult
25,30134780,cardiac rehabilitation/*methods
25,30134780,denmark
25,30134780,exercise therapy/*methods
25,30134780,female
25,30134780,follow-up studies
25,30134780,humans
25,30134780,male
25,30134780,middle aged
25,30134780,quality of life/*psychology
25,30134780,telerehabilitation/*methods
25,30134780,treatment outcome
26,28799460,belgium
26,28799460,cardiac rehabilitation/*economics/methods
26,28799460,coronary artery disease/*rehabilitation
26,28799460,cost-benefit analysis
26,28799460,humans
26,28799460,*quality of life
26,28799460,telerehabilitation/*economics
27,30251248,ambulatory care/methods
27,30251248,cardiac rehabilitation/*methods
27,30251248,coronary artery disease/*rehabilitation
27,30251248,exercise therapy/*methods
27,30251248,humans
27,30251248,hypertension/therapy
27,30251248,myocardial infarction/*rehabilitation
27,30251248,secondary prevention/*methods
27,30251248,telerehabilitation/methods
28,29305064,adult
28,29305064,aged
28,29305064,"aged, 80 and over"
28,29305064,*cardiac rehabilitation
28,29305064,denmark
28,29305064,female
28,29305064,"health knowledge, attitudes, practice"
28,29305064,*health literacy
28,29305064,heart diseases/*rehabilitation/surgery
28,29305064,humans
28,29305064,male
28,29305064,middle aged
28,29305064,"outcome and process assessment, health care"
28,29305064,*patient education as topic
28,29305064,*patient outcome assessment
28,29305064,*telemedicine
28,29305064,telerehabilitation/*methods
29,30076800,adult
29,30076800,aged
29,30076800,"aged, 80 and over"
29,30076800,cardiac rehabilitation/methods/*psychology
29,30076800,coronary disease/psychology/*rehabilitation
29,30076800,exercise therapy/methods/*psychology
29,30076800,female
29,30076800,humans
29,30076800,male
29,30076800,middle aged
29,30076800,"monitoring, physiologic"
29,30076800,patient acceptance of health care/*psychology
29,30076800,single-blind method
29,30076800,telerehabilitation/*methods
30,28441928,canada
30,28441928,evidence-based medicine
30,28441928,humans
30,28441928,stroke/*therapy
30,28441928,stroke rehabilitation/*methods
30,28441928,telemedicine/*methods
31,30192210,aged
31,30192210,cardiac rehabilitation/*methods
31,30192210,cardiovascular diseases/*therapy
31,30192210,china
31,30192210,exercise therapy/*methods
31,30192210,female
31,30192210,follow-up studies
31,30192210,humans
31,30192210,male
31,30192210,middle aged
31,30192210,"monitoring, physiologic/*methods"
31,30192210,percutaneous coronary intervention/*methods
31,30192210,remote sensing technology/*methods
31,30192210,surveys and questionnaires
31,30192210,telerehabilitation/*methods
32,28667228,adult
32,28667228,aged
32,28667228,"aged, 80 and over"
32,28667228,cardiac rehabilitation/economics/*methods
32,28667228,cost-benefit analysis
32,28667228,exercise
32,28667228,feasibility studies
32,28667228,humans
32,28667228,male
32,28667228,middle aged
32,28667228,patient compliance
32,28667228,pilot projects
32,28667228,risk factors
32,28667228,self care/methods
32,28667228,telerehabilitation/*methods
32,28667228,treatment outcome pmc
33,28925749,cardiac rehabilitation/economics/*methods/standards
33,28925749,cost-benefit analysis
33,28925749,female
33,28925749,follow-up studies
33,28925749,humans
33,28925749,male
33,28925749,middle aged
33,28925749,*practice guidelines as topic
33,28925749,*quality of life
33,28925749,*quality-adjusted life years
33,28925749,surveys and questionnaires
33,28925749,telerehabilitation/economics/*methods/standards
33,28925749,time factors
34,28245004,adult
34,28245004,cardiac rehabilitation/*methods
34,28245004,cardiovascular diseases/*prevention & control
34,28245004,female
34,28245004,humans
34,28245004,male
34,28245004,middle aged
34,28245004,occupational diseases/*rehabilitation
34,28245004,occupational health services
34,28245004,pensions
34,28245004,poland
34,28245004,return to work
34,28245004,secondary prevention/*methods
34,28245004,telerehabilitation/*methods
35,30528811,aged
35,30528811,cardiac rehabilitation/*economics
35,30528811,female
35,30528811,follow-up studies
35,30528811,*health care costs
35,30528811,heart failure/*economics/*rehabilitation
35,30528811,humans
35,30528811,male
35,30528811,middle aged
35,30528811,patient readmission/*economics
35,30528811,telerehabilitation/*economics
36,28569116,adult
36,28569116,aged
36,28569116,"aged, 80 and over"
36,28569116,asthma/*rehabilitation
36,28569116,*attitude of health personnel
36,28569116,*attitude to health
36,28569116,female
36,28569116,focus groups
36,28569116,humans
36,28569116,"lung diseases, interstitial/*rehabilitation"
36,28569116,male
36,28569116,middle aged
36,28569116,nurses
36,28569116,physical therapists
36,28569116,"pulmonary disease, chronic obstructive/*rehabilitation"
36,28569116,qualitative research
36,28569116,respiratory therapy
36,28569116,telemedicine
36,28569116,*telerehabilitation pmc
37,30573441,aged
37,30573441,*exercise therapy
37,30573441,female
37,30573441,humans
37,30573441,male
37,30573441,middle aged
37,30573441,*oximetry
37,30573441,patient satisfaction
37,30573441,prospective studies
37,30573441,"pulmonary disease, chronic obstructive/*rehabilitation"
37,30573441,*telerehabilitation
38,28427763,aged
38,28427763,"aged, 80 and over"
38,28427763,child
38,28427763,female
38,28427763,heart failure/*rehabilitation
38,28427763,humans
38,28427763,male
38,28427763,middle aged
38,28427763,*program evaluation
38,28427763,social support
38,28427763,*surveys and questionnaires
38,28427763,telemedicine/*methods
38,28427763,telerehabilitation/*methods
38,28427763,videoconferencing
39,28882061,aged
39,28882061,brain neoplasms/diagnosis/*rehabilitation/surgery
39,28882061,exercise therapy/*methods
39,28882061,feasibility studies
39,28882061,female
39,28882061,gait/physiology
39,28882061,glioma/diagnosis/*rehabilitation/surgery
39,28882061,home care services/*organization & administration
39,28882061,humans
39,28882061,male
39,28882061,middle aged
39,28882061,netherlands
39,28882061,pilot projects
39,28882061,postural balance/physiology
39,28882061,quality of life
39,28882061,risk assessment
39,28882061,telerehabilitation/*methods pmc mid
40,33245286,*cardiovascular diseases/prevention & control
40,33245286,exercise
40,33245286,humans
40,33245286,secondary prevention
40,33245286,*self-management
40,33245286,*telerehabilitation pmc
41,32553606,betacoronavirus
41,32553606,covid-19
41,32553606,canada
41,32553606,*cardiac rehabilitation/methods/trends
41,32553606,*cardiovascular diseases/epidemiology/prevention & control
41,32553606,*coronavirus infections/epidemiology/prevention & control
41,32553606,humans
41,32553606,infection control/organization & administration
41,32553606,"models, organizational"
41,32553606,organizational innovation
41,32553606,*pandemics/prevention & control
41,32553606,"*pneumonia, viral/epidemiology/prevention & control"
41,32553606,risk assessment
41,32553606,sars-cov-2
41,32553606,*telerehabilitation/methods/organization & administration pmc
42,31734701,female
42,31734701,follow-up studies
42,31734701,heart failure/*mortality/*rehabilitation
42,31734701,hospitalization/statistics & numerical data
42,31734701,humans
42,31734701,male
42,31734701,middle aged
42,31734701,oxygen consumption
42,31734701,prospective studies
42,31734701,quality of life
42,31734701,*telerehabilitation
42,31734701,walk test pmc cois sanofi/regeneron and amgen and personal fees from boehringer ingelheim outside the submitted work. no other disclosures were reported.
43,31298957,*cardiac rehabilitation
43,31298957,health behavior
43,31298957,hermeneutics
43,31298957,humans
43,31298957,narration
43,31298957,*telerehabilitation
44,31174579,feasibility studies
44,31174579,"*home care services, hospital-based"
44,31174579,humans
44,31174579,ontario
44,31174579,*patient discharge
44,31174579,randomized controlled trials as topic
44,31174579,recovery of function
44,31174579,stroke/diagnosis/physiopathology/*therapy
44,31174579,stroke rehabilitation/*methods
44,31174579,telerehabilitation/*methods
44,31174579,time factors
44,31174579,treatment outcome
44,31174579,*virtual reality pmc
45,31702397,cardiac rehabilitation/*methods/*statistics & numerical data
45,31702397,female
45,31702397,*health literacy
45,31702397,heart valve diseases/rehabilitation
45,31702397,humans
45,31702397,ischemic stroke/rehabilitation
45,31702397,male
45,31702397,middle aged
45,31702397,patient participation/*psychology/statistics & numerical data
45,31702397,pilot projects
45,31702397,surveys and questionnaires
45,31702397,telemedicine/*methods/*statistics & numerical data
45,31702397,telerehabilitation/*methods/*statistics & numerical data
46,31787026,aged
46,31787026,belgium
46,31787026,*cardiac rehabilitation
46,31787026,coronary artery disease/diagnosis/physiopathology/*rehabilitation
46,31787026,*exercise therapy
46,31787026,*exercise tolerance
46,31787026,female
46,31787026,humans
46,31787026,male
46,31787026,middle aged
46,31787026,oxygen consumption
46,31787026,*physical fitness
46,31787026,recovery of function
46,31787026,*telerehabilitation
46,31787026,time factors
46,31787026,treatment outcome
47,31112461,"computers, handheld"
47,31112461,humans
47,31112461,*mobile applications
47,31112461,smartphone
47,31112461,*telemedicine/methods
47,31112461,*telerehabilitation
48,33739009,"*arthroplasty, replacement, knee"
48,33739009,delivery of health care
48,33739009,humans
48,33739009,knee joint
48,33739009,quality of life
48,33739009,*telerehabilitation
49,32344000,betacoronavirus/isolation & purification
49,32344000,covid-19
49,32344000,cardiac rehabilitation/*methods
49,32344000,*coronavirus infections/epidemiology/prevention & control
49,32344000,delivery of health care/*organization & administration
49,32344000,"disease transmission, infectious/prevention & control"
49,32344000,humans
49,32344000,infection control/*methods
49,32344000,"*models, organizational"
49,32344000,organizational innovation
49,32344000,*pandemics/prevention & control
49,32344000,"*pneumonia, viral/epidemiology/prevention & control"
49,32344000,risk management
49,32344000,sars-cov-2
49,32344000,*telerehabilitation/methods/organization & administration pmc
50,30985284,aged
50,30985284,"aged, 80 and over"
50,30985284,cardiac rehabilitation/*methods
50,30985284,female
50,30985284,humans
50,30985284,male
50,30985284,middle aged
50,30985284,*qualitative research
50,30985284,social media
50,30985284,telerehabilitation/*methods pmc
51,32602812,belgium/epidemiology
51,32602812,*covid-19
51,32602812,*cardiac rehabilitation
51,32602812,communicable disease control
51,32602812,humans
51,32602812,pandemics
51,32602812,sars-cov-2
51,32602812,*telerehabilitation
52,31633454,canada
52,31633454,exercise
52,31633454,humans
52,31633454,*stroke
52,31633454,*stroke rehabilitation
52,31633454,*telerehabilitation
53,33183162,aged
53,33183162,covid-19/*epidemiology
53,33183162,cardiac rehabilitation/*methods
53,33183162,cardiovascular diseases/epidemiology/*therapy
53,33183162,comorbidity
53,33183162,exercise therapy/*methods
53,33183162,female
53,33183162,humans
53,33183162,male
53,33183162,*pandemics
53,33183162,*patient outcome assessment
53,33183162,prospective studies
53,33183162,sars-cov-2
53,33183162,telerehabilitation/*methods
54,30759761,female
54,30759761,heart diseases/*rehabilitation
54,30759761,humans
54,30759761,male
54,30759761,middle aged
54,30759761,*motivation
54,30759761,quality of life
54,30759761,self care
54,30759761,"stress, psychological"
54,30759761,surveys and questionnaires
54,30759761,*telerehabilitation
54,30759761,time factors pmc
55,31156093,*cardiac rehabilitation
55,31156093,humans
55,31156093,internet
55,31156093,*myocardial infarction/rehabilitation
55,31156093,quality of life
55,31156093,*telerehabilitation
56,32629502,aged
56,32629502,"arthroplasty, replacement, knee/rehabilitation"
56,32629502,humans
56,32629502,middle aged
56,32629502,*program evaluation
56,32629502,"pulmonary disease, chronic obstructive/rehabilitation"
56,32629502,quality of life
56,32629502,stroke rehabilitation
56,32629502,*telerehabilitation cois
57,31082934,american heart association
57,31082934,*cardiac rehabilitation/methods/psychology
57,31082934,*exercise therapy/education/methods
57,31082934,health behavior
57,31082934,*heart diseases/prevention & control/rehabilitation
57,31082934,home care services/*organization & administration
57,31082934,humans
57,31082934,lung diseases/*rehabilitation
57,31082934,patient education as topic
57,31082934,patient selection
57,31082934,risk adjustment/methods
57,31082934,secondary prevention/organization & administration
57,31082934,telerehabilitation/*methods
57,31082934,"united states pmc mid cois cardiovascular and pulmonary rehabilitation, and the american college of cardiology make every effort to avoid any actual or potential conflicts of interest that may arise as a result of an outside relationship or a personal, professional, or business interest of a member of the writing panel. specifically, all members of the writing group are required to complete and submit a disclosure questionnaire showing all such relationships that might be perceived as real or potential conflicts of interest."
58,33381784,"blood pressure monitoring, ambulatory"
58,33381784,covid-19/*prevention & control/therapy
58,33381784,cardiac rehabilitation
58,33381784,cardiovascular diseases/*therapy
58,33381784,communicable disease control
58,33381784,contact tracing
58,33381784,health literacy
58,33381784,health services accessibility
58,33381784,*healthcare disparities
58,33381784,humans
58,33381784,internet access
58,33381784,poverty
58,33381784,sars-cov-2
58,33381784,singapore
58,33381784,social class
58,33381784,social conditions
58,33381784,socioeconomic factors
58,33381784,*telemedicine
58,33381784,telerehabilitation
58,33381784,transients and migrants
59,31946398,*cardiac rehabilitation
59,31946398,exercise
59,31946398,*exercise therapy
59,31946398,forecasting
59,31946398,humans
59,31946398,*patient compliance
59,31946398,*telerehabilitation
60,30730298,coronary artery disease/*rehabilitation
60,30730298,female
60,30730298,*grounded theory
60,30730298,humans
60,30730298,male
60,30730298,middle aged
60,30730298,qualitative research
60,30730298,telerehabilitation/*methods pmc
61,31760855,*cardiac rehabilitation
61,31760855,*cardiovascular diseases
61,31760855,*coronary artery disease
61,31760855,exercise
61,31760855,heart disease risk factors
61,31760855,humans
61,31760855,quality of life
61,31760855,risk factors
61,31760855,*telerehabilitation
62,32233671,*betacoronavirus
62,32233671,covid-19
62,32233671,*cardiac rehabilitation
62,32233671,cardiovascular diseases/*epidemiology/*therapy
62,32233671,coronavirus infections/*epidemiology
62,32233671,humans
62,32233671,pandemics
62,32233671,"pneumonia, viral/*epidemiology"
62,32233671,sars-cov-2
62,32233671,singapore/epidemiology
62,32233671,telerehabilitation/organization & administration pmc
63,32804796,aged
63,32804796,betacoronavirus
63,32804796,covid-19
63,32804796,*cardiac rehabilitation/methods/trends
63,32804796,communicable disease control/methods
63,32804796,*coronavirus infections/epidemiology/prevention & control
63,32804796,"death, sudden, cardiac/*prevention & control"
63,32804796,"*defibrillators, implantable"
63,32804796,electric countershock/instrumentation
63,32804796,exercise/*physiology
63,32804796,female
63,32804796,humans
63,32804796,italy/epidemiology
63,32804796,male
63,32804796,needs assessment
63,32804796,*pandemics/prevention & control
63,32804796,"*pneumonia, viral/epidemiology/prevention & control"
63,32804796,quarantine/methods
63,32804796,sars-cov-2
63,32804796,telerehabilitation/*organization & administration pmc cois
64,33217814,cardiac rehabilitation/*methods
64,33217814,coronary disease/*rehabilitation
64,33217814,czech republic
64,33217814,*high-intensity interval training
64,33217814,humans
64,33217814,randomized controlled trials as topic
64,33217814,*telerehabilitation pmc cois
65,30946021,adult
65,30946021,coronary artery disease/psychology/*rehabilitation
65,30946021,exercise/*psychology
65,30946021,female
65,30946021,humans
65,30946021,male
65,30946021,middle aged
65,30946021,mobile applications/*standards/statistics & numerical data
65,30946021,motivation
65,30946021,quality of life/*psychology
65,30946021,risk factors
65,30946021,telerehabilitation/methods pmc
66,32176113,cardiac rehabilitation/*instrumentation
66,32176113,cardiovascular diseases/*psychology
66,32176113,female
66,32176113,heart rate
66,32176113,humans
66,32176113,male
66,32176113,middle aged
66,32176113,"monitoring, physiologic/*instrumentation"
66,32176113,*patient compliance
66,32176113,quality of life
66,32176113,telerehabilitation/*instrumentation
66,32176113,*wrist pmc cois
67,31973598,adolescent
67,31973598,age factors
67,31973598,child
67,31973598,"*diet, healthy"
67,31973598,*exercise
67,31973598,feasibility studies
67,31973598,female
67,31973598,health status
67,31973598,heart failure/diagnosis/physiopathology/*surgery
67,31973598,heart transplantation/adverse effects/*rehabilitation
67,31973598,humans
67,31973598,male
67,31973598,patient compliance
67,31973598,recovery of function
67,31973598,*risk reduction behavior
67,31973598,*telerehabilitation
67,31973598,time factors
67,31973598,treatment outcome
67,31973598,*videoconferencing
67,31973598,young adult pmc
68,32750254,*augmented reality
68,32750254,female
68,32750254,*heart diseases
68,32750254,humans
68,32750254,male
68,32750254,middle aged
68,32750254,motivation
68,32750254,patient compliance
68,32750254,perception
68,32750254,"*pulmonary disease, chronic obstructive/rehabilitation"
68,32750254,quality of life
68,32750254,*telerehabilitation
69,31129929,adrenomedullin/*blood
69,31129929,aged
69,31129929,biomarkers/*blood
69,31129929,cause of death
69,31129929,female
69,31129929,heart failure/mortality/*rehabilitation
69,31129929,hospitalization
69,31129929,humans
69,31129929,male
69,31129929,middle aged
69,31129929,"natriuretic peptide, brain/*blood"
69,31129929,peptide fragments/*blood
69,31129929,precision medicine/*methods
69,31129929,protein precursors/*blood
69,31129929,risk assessment
69,31129929,survival rate
69,31129929,*telerehabilitation
70,31654944,heart failure/*rehabilitation
70,31654944,humans
70,31654944,poland
70,31654944,prospective studies
70,31654944,"statistics, nonparametric"
70,31654944,telerehabilitation/instrumentation/*methods
71,33561280,covid-19/*epidemiology
71,33561280,humans
71,33561280,musculoskeletal diseases/*rehabilitation
71,33561280,"outcome and process assessment, health care"
71,33561280,patient satisfaction/*statistics & numerical data
71,33561280,physical therapy modalities/*organization & administration
71,33561280,quality of life/*psychology
71,33561280,research design
71,33561280,telerehabilitation/*methods
71,33561280,treatment outcome pmc
72,33642858,*covid-19/epidemiology/prevention & control
72,33642858,communicable disease control/methods
72,33642858,humans
72,33642858,"pulmonary disease, chronic obstructive/epidemiology/*rehabilitation"
72,33642858,quality improvement
72,33642858,sars-cov-2
72,33642858,*telerehabilitation/methods/organization & administration/standards pmc
73,33611598,covid-19/epidemiology
73,33611598,*cardiac rehabilitation
73,33611598,humans
73,33611598,musculoskeletal diseases/*rehabilitation
73,33611598,nervous system diseases/*rehabilitation
73,33611598,pandemics
73,33611598,*physical therapy modalities
73,33611598,review literature as topic
73,33611598,sars-cov-2
73,33611598,telerehabilitation/*methods pmc
74,34254118,*covid-19/epidemiology
74,34254118,*cardiac rehabilitation/methods
74,34254118,"clinical trials, phase ii as topic"
74,34254118,*coronary disease/diagnosis/rehabilitation
74,34254118,humans
74,34254118,quality of life
74,34254118,*telerehabilitation/methods pmc
75,33814057,covid-19/epidemiology
75,33814057,cardiac rehabilitation/economics/*methods
75,33814057,*health services accessibility
75,33814057,humans
