,PMID,Other_term
98,33893061,covid---covid-19---exercise---physiotherapist---pulmonary rehabilitation---telemedicine---telerehabilitation
101,33921310,cardiovascular diseases---cost-benefit analysis---physical therapy modalities---telemedicine---telerehabilitation cois
102,36322107,chronic disease---meta-analysis---nurses---outpatients---telemedicine---telerehabilitation cois
104,33527740,"exercise training---heart failure---hybrid rehabilitation---remote monitoring---telerehabilitation cois and development, warsaw, poland, grant number strategmed1/233547/13/ncbr/2015."
105,34972589,"covid-19 pandemic---clinical outcomes---home based cardiac rehabilitation---risk assessment cois there is no financial or other relationship with other people or organizations, that may inappropriately influence my work."
106,34266323,cardiac rehabilitation---atrial fibrillation---digital health---telerehabilitation
107,35738643,cardiology---rehabilitation medicine---telemedicine cois
108,33807691,biofeedback---electromyography---human-computer interface---stroke---telerehabilitation cois
109,35040993,cardiac rehabilitation---cardiac telerehabilitation---coronary artery disease---physical activity---relapse prevention
110,34952989,cardiac rehabilitation---coronary heart disease---secondary prevention---telemedicine---telerehabilitation cois
111,33682872,arm---exercise---hand---implementation---re-aim---stroke---telerehabilitation
112,35944773,"cardiac rehabilitation---coronary heart disease---glycoproteins---lipoprotein particles---mobile health---telerehabilitation cois lipoprotein characterization”) issued and is the stoke owner of biosfer teslab, the company that analyses the metabolites reported in the manuscript. the other authors declare no conflicts of interest. the funders had no role in the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript; or in the decision to publish the results."
113,33985509,"diabetes mellitus---exercise training---heart failure---hybrid rehabilitation---telerehabilitation cois warsaw, poland (grant number: strategmed1/233547/13/ ncbr/2015)."
116,34125923,cost-effectiveness---heart failure---telerehabilitation
117,34499396,"ecg monitoring---arrhythmia---cardiac telerehabilitation---heart failure cois and development, warsaw, poland, grant number strategmed1/233547/13/ncbr/2015. the authors have had full control of all primary data, and they agree to allow the journal to review their data if requested."
118,35615893,6-min walk test---chronic heart failure---chronic kidney disease---echocardiography---exercise---intervention---vo2max cois
119,35037037,"depression---heart failure---telerehabilitation cois and development, warsaw, poland."
259,25987401,cardiac rehabilitation---coronary artery disease---exercise training
261,26216314,cardiac rehabilitation---coronary artery disease---occupational status---rehabilitation---social benefit---telemedicine
268,30150328,"cardiac rehabilitation---coronary artery disease---ehealth/telemedicine/mobile health cois (sir charles hercus health research fellowship). mm is supported by the australian national health and medical research council (centre for research excellence, 1041020). we declare no further competing interests."
314,32847918,coronary heart disease---health economics---myocardial infarction---rehabilitation medicine cois
364,35162128,covid-19---cardiovascular disease---detraining---lockdown---sedentary behavior cois
370,23702985,telemedicine---cardiac rehabilitation---exercise training---internet---lifestyle modification---risk factors---secondary prevention of coronary heart disease
374,36435565,covid-19---pah-targeted therapies---pulmonary arterial hypertension---pulmonary hypertension
381,23211231,atrial fibrillation---cardiac implantable electronic devices---early detection---follow-up---icd---recall management---remote monitoring
482,23185992,heart disease---qualitative study---self-care---telenursing
492,23112633,heart sound---phonocardiography applications---wireless sensor system
506,22956633,myocardial infarction---anxiety---depression---health coaching---tele-health
577,23112734,authentication---confidentiality---mhealth---security---wireless body sensor networks
601,23801822,atrial fibrillation---cardiac pacing---cardiac resynchronization therapy---heart failure---pacemaker---syncope
603,25680492,compliance---discharge teaching---health literacy---readmissions---telehealth
604,23943649,acute coronary syndrome---cardiac rehabilitation---cardiovascular diseases---coronary disease---internet---myocardial infarction---risk factors---systematic review---telemedicine
607,25488550,coronary artery disease---cardiac rehabilitation---secondary prevention---telehealth
608,25124013,echocardiography---robot-assisted---teleconsultation---telerobotic remote ultrasound assessment---ultrasound imaging
610,24709285,cardiac remote monitoring---défibrillateur implantable---implantable defibrillator---pacemaker---télécardiologie
611,24793803,atrioventricular search hysteresis---automated threshold testing---mode switching---pacemaker-mediated tachycardia---rate modulation---remote monitoring---right ventricular pacing
612,25475152,cardiac failure---cardiovascular---diabetes---hypertension---non-communicable---risk factors
614,24830309,heart failure---insuficiência cardíaca---monitorização remota---remote monitoring---telemonitoring---telemonitorização
618,23519115,disease management---heart failure---home monitoring---remote monitoring---telemonitoring cois methodist debakey cardiovascular journal conflict of interest statement and none were reported.
621,24081953,"implantable cardioverter defibrillators---pacemaker, artificial---quality of life"
628,24793800,defibrillators---follow-up---patient monitoring---remote monitoring guidelines
630,24751564,biomarkers---cardiac monitors---disease management programs---heart failure---natriuretic peptides
631,25161104,china---hiv---india---kenya---philippines---sms---south korea---taiwan---breast cancer---cardiopulmonary resuscitation guidance---cell phones---chronic diseases---diabetes---electronic healthcare---e–healthcare---health education---health outcomes---heart disease---hypertension---mobile phone technology---mobile phones---obesity---pharmaceutical care---self management---short message service---text messages
632,24185949,cardiac rehabilitation---coronary disease---exercise---mhealth---prevention---telemedicine
633,24454576,telehealth alerts---false alerts---heart failure---home health nursing
634,25026973,bio-impedance---cardiac output---heart failure---telemonitoring
636,23737221,cieds---early detection---follow-up---monitoring---remote monitoring
638,25432484,exercise adherence---exercise promotion---heart failure---internet technology---physical activity---self-management---social media---telemedicine
642,24534628,activity tracking---connected device---fitness---functional outcome---recovery---ehealth
644,25271050,exercise---risk factors---telemedicine
645,25426527,change management---chronic obstructive pulmonary disease (copd)---heart failure---nurse---telehealth
646,25298802,telemedicine---cost-effectiveness---heart failure---mhealth---therapy adherence/compliance cois in the research.
648,24968105,chronic disease---evidence---telehealth---telemedicine---telemonitoring---telepulmonology---telestroke
649,24731212,heart failure---meta-analysis---remote monitoring---systematic review
652,23786584,attitudes---chronic obstructive---health services research---heart failure---pulmonary disease---systematic reviews and meta-analyses---technology
654,25153148,cardiac arrest---cardiopulmonary resuscitation---emergency medical services communication systems---prehospital emergency care
666,24681423,heart failure---ageing---elderly---geriatric---remote monitoring---systematic review
668,24984847,heart failure---implant---invasive---pulmonary hypertension---pulmonary pressure---telemonitoring
673,25354948,blood pressure---electrocardiogram monitoring---electrocardiogram recording---health apps---heart rate---medical devices---mobile health---oximetry---pulse rate---smartphones---vital signs
674,25637942,guidelines---heart failure---indigenous australians---remote---rural---therapeutics
676,23599169,cardiac resynchronization therapy---cost-effectiveness analysis---health-care costs---implantable defibrillator---markov chain---remote monitoring
679,24028359,care management---electronic communication---telehealth
682,23737226,cardiac implantable electronic devices---quality of life---remote monitoring---arrhythmias---healthcare economics
685,23737234,implantable cardioverter defibrillator---pacemaker---remote monitoring---telemedicine
693,25660364,high blood pressure---internet---mobile health---self-management
696,23737228,atrial fibrillation---cardiac implantable electronic devices---heart failure---implantable defibrillator---remote monitoring---stroke
698,25510621,cybersecurity---e-health---electrocardiogram---telemedicine
700,24293289,angiography---bypass---graft patency---robot
703,24112277,clinical trials---methodologies---patient involvement---primary care---stroke---telehealth
704,23880072,chronic diseases---diabetes---heart failure---home telemonitoring---hypertension---meta-analysis as topic---pulmonary disease---quality assessment---risk of bias---systematic review as topic---telehealth---telemetry cois
706,24817694,exercise---mobile phones---rehabilitation---self-efficacy---text messaging---trials
713,25069605,community health---innovation adoption---long-term conditions---nursing---technology---telehealth
722,23891066,esdp---hhc---los---pro---snf---early screen for discharge planning---home health care---length of stay---patient-reported outcomes---skilled nursing facility
726,25128655,acute stroke therapy---epidemiology---stroke---telemedicine---telestroke
730,24636796,acute coronary syndrome---emergency medical services---stemi---transtelephonic ecg
731,24841367,cardiology/cardiovascular disease---education---telehealth---telemedicine
732,24468920,cognitive behaviour therapy---health anxiety---internet---sudden gains cois
733,24730637,fetal cardiac screening---fetal diagnosis---medical link---telediagnosis---ultrasound diagnosis
735,25083905,congenital heart disease---home health monitoring---hypoplastic left heart syndrome---interstage sudden death---pediatrics---telemedicine
737,23623349,acute myocardial infarction---arrhythmias---prison health care---tele-cardiology
740,25150495,arrhythmias---clinical trials---computer communication networks---electrophysiology---learning aids
755,23737224,brugada syndrome---home monitoring---icd---telemedicine
756,25136791,care pathways---heart failure---implanted devices---randomized controlled trial---remote monitoring
758,24572251,nhs---telestroke---thrombolysis
764,24528530,attitude---paediatric cardiology---paediatrician---telemedicine
769,24096575,electrocardiogram---myocardial infarction---quality---telemedicine
770,24655228,depression---home care---integrated care---randomized trial---telehealth
772,25205534,bleeding event---international normalized ratio---mechanical heart valve replacement---oral anticoagulation---thrombotic event---vitamin k antagonists
775,25046174,acute myocardial infarction---readmission---telemedicine
776,23737231,cardiac implantable electronic devices---follow-up---implantable defibrillator---patient satisfaction---remote monitoring---workflow
777,23419656,pacemaker---remote follow-up---reprogramming
779,24507743,device diagnostics---heart failure---multidisciplinary care---remote monitoring
781,24866615,"4-dimensional sonography---congenital heart defects---echocardiography---fetal---first trimester---obstetric ultrasound---prenatal diagnosis, spatiotemporal image correlation"
783,24901442,cardiology/cardiovascular disease---pediatrics---telecardiology---telemedicine
799,23061492,heart failure---remote monitoring---rural patients---telemonitoring
804,24853566,medication adherence---coronary heart disease---depression---mobile health---self-efficacy---social support---text messaging
807,24345687,body weight---heart failure---phenomenography---self-care---telemonitoring
808,23702984,icd---ihe---remote monitoring---data exchange---implantable devices---pacemaker---standardization
809,24774107,cf---holter insertable---icd---ilr---implantable loop recorder---monitorización a distancia---pm---palpitaciones---palpitations---rm---remote monitoring---syncope---síncope---conventional follow-up---implantable cardioverter-defibrillator---implantable loop recorder---pacemaker---remote monitoring
810,24573195,heart failure---decision support system---ventricular assist devices
812,24344325,cardiac implantable electronic devices---defibrillator---ehra survey---ep wire---pacemaker---remote monitoring
814,24796429,cardiology/cardiovascular disease---electronic health---home health monitoring---sensor technology
815,24637516,coronary angiography---electrocardiography---emergency medical services---triage/methods
822,23635393,"internet---health information---multiple sclerosis---social media---trust cois institutes of health research, public health agency of canada, manitoba health research council, health sciences centre foundation, multiple sclerosis society of canada, multiple sclerosis scientific foundation, rx & d health research foundation, has conducted clinical trials funded by bayer inc. and sanofi-aventis, and serves on the editorial boards of neurology and multiple sclerosis journal. amber salter has no conflicts of interest to declare. tuula tyry has no conflicts of interest to declare. robert fox has received personal consulting fees from avanir, biogen idec, novartis, questcor, and teva neurosciences; has served on clinical trial advisory committees for biogen idec and novartis; has received research support from the national multiple sclerosis society (rg 4091a3/1; rg 4103a4/2; rc 1004-a-5) and novartis; and serves on the editorial boards of neurology and multiple sclerosis journal. gary cutter has served on scientific advisory boards for and/or received funding for travel from alexion, allozyne, bayer, celgene, consortium of ms centers, coronado biosciences, diogenix, klein-buendel incorporated, merck, novartis, nuron biotech, receptos, somnus pharmaceuticals, spinifex pharmaceuticals, st. louis university, teva pharmaceuticals; receives royalties from publishing evaluation of health promotion and disease prevention (the mcgraw hill companies, 1984); has received honoraria from glaxosmithkline, novartis, advanced health media inc, biogen idec, emd serono inc, edj associates, inc, the national heart, lung, and blood institute, national institute of neurological diseases and stroke, national marrow donor program, consortium of multiple sclerosis centers; serves as a consultant to novartis, national industrial sand association, bayer pharmaceuticals, and teva pharmaceuticals industries ltd.; has served on independent data and safety monitoring committees for apotek, biogen, cleveland clinic, elililly, glaxo smith klein pharmaceuticals, medivation, modigenetech, nhlbi, ninds, nmss, ono pharmaceuticals, prolor, sanofi-aventis, teva."
823,24508493,heart failure---remote monitoring---telemedicine---weight
825,24222828,acute myocardial infarction---bundle branch block---prehospital diagnosis---primary percutaneous coronary intervention
827,25354952,marathon running---arrhythmias---electrocardiogram streaming---sudden cardiac death---telemedicine
830,25179766,devices---follow-up---health economics---implantable cardioverter defibrillator---remote monitoring
831,25495564,cardiology/cardiovascular disease---e-health---home health monitoring---telemedicine
833,24787276,eri---battery voltage---elective replacement indicator---magnet rate---pacemaker---transtelephonic
836,24769270,30-day readmissions---home telemonitoring---cost of care---health related quality of life
837,23630403,heart failure---adherence---knowledge---self-care---self-efficacy---telemonitoring
841,25306222,focused ultrasound---tele-echocardiography---tele-education
844,25025239,cardiology/cardiovascular---home health monitoring---mobile health---telecardiology---telemedicine
847,25159700,depression---acute coronary syndrome---cardiac---cognitive behaviour therapy---tele-health
848,23750778,atrial fibrillation---mitral isthmus---radiofrequency ablation---robotic catheter system
849,23868932,implantable defibrillator---office visits---patient schedule---quality of life---remote sensing technology---telemedicine
853,24712556,cardiology/cardiovascular disease---home health monitoring---information management---telemedicine
854,23451899,heart failure---primary care---qualitative research---telehealth
855,23737227,implantable cardioverter-defibrillator---pacemaker---remote monitoring
858,23860093,anova---analysis of variance---congenital heart disease---icu---intensive care unit---los---length of stay---telemedicine
859,23965236,"alerts---cardiac resynchronization therapy---heart failure---remote monitoring---telemedicine cois navarro are employees of affiliates of medtronic inc. prof. boriani has received speaker fees from medtronic (small amount); dr. ricci has received minor consultancy fees from medtronic and biotronik; prof. santini has received research grants from medtronic, and st. jude. dr. burri has received grants for research and fellowships support and speaker fees from biotronik, boston scientific, medtronic, st-jude medical, and sorin. the other authors report no conflict."
862,25354950,heart failure---diastolic heart failure---exercise capacity---exercise training---heart failure with preserved ejection fraction---interval training---telemonitoring---training intensity
866,23916919,coronary heart disease---counseling---evidence-based practice---prevention---therapy/computer-assisted
868,24958778,cerebrovascular disease---stroke mimics---telestroke---thrombolysis
870,25262307,atención primaria---chronic diseases---enfermedades crónicas---primary care---telemedicina---telemedicine
871,24595864,defibrillators---follow-up---patient monitoring---remote monitoring' guidelines
872,25241223,defibrillators---défibrillateur automatique implantable---follow-up---implantable cardioverter-defibrillator---remote monitoring---suivi---telemedicine---télécardiologie---télésurveillance
877,25124011,real-time---remote consultation---remote-echocardiography---robot-assisted---telemedicine
878,23962782,6-minute walk test---activity monitoring---exercise testing---systolic heart failure---tim-hf trial---telemedicine
881,25542061,critical care echocardiography---critical care training---critical care ultrasound---curriculum---efficiency---supervision
883,25269063,american heart association---physical activity---walking challenge
887,25354951,home-based training---cardiac rehabilitation---e-coaching---exercise training---self management---telemedicine---telemonitoring
889,25147327,"quality indicators, health care---stroke---telemedicine---thrombolytic therapy"
893,23362021,implantable cardioverter defibrillators---pacemakers---remote monitoring---telemedicine
894,23702987,chronic heart failure---tim-hf trial---hospitalisation---perception---remote patient management---telemedicine
899,25124997,electrocardiogram---sport---sudden death---tele-medicine---young athletes
904,24780548,idiopathic ventricular fibrillation---implantable cardioverter defibrillator (icd)---premature ventricular complex---remote monitoring---sudden cardiac death---telemedicine
905,24604713,st-elevation---tele-cardiology---acute myocardial infarction---emergency medical service---pre-hospital electrocardiogram---pre-hospital triage---primary coronary angioplasty
906,25252060,education---fetal echocardiography---fetal telediagnosis---medical link---questionnaire
923,27760883,smartphone---android---app---apple---behaviour change---health---health promotion
925,26873093,*digital health---*medical technology---*patient-generated data---*sensors---*mhealth
927,29536903,st-segment elevation myocardial infarction---ambulances---cardiac troponin---early diagnosis---electrocardiography---non st-segment myocardial infarction---point-of-care systems---telemedicine
929,27262389,app---cardiovascular disease---mobile health---text message---mhealth
930,27185508,frail elderly---gerontechnology---smart homes---telehealth---ehealth
933,27154462,ed visits---complex medication regimens---heart failure---hospitalization length of stay---medication adherence---medication management---self-care---self-management---telehealth---telemonitoring cois
936,27524474,electrocardiography---mobile health---sensors---smartphones
937,27769282,adherence to treatment---hypertension---self-management---m-health
938,27039130,cost-effectiveness---heart failure---outcomes assessment---patient readmissions---telemonitoring
941,26462091,health care disparities---heart failure---rural health
942,27373351,body computing---computer modeling---computer simulation---digital---home monitoring---remote monitoring---three-dimensional printing---virtual---wireless
944,26462476,heart decompensation---heart failure---hemodynamics---hospitalization---monitoring devices
946,27993487,cardiovascular inequalities---telehealth---telemedicine
947,26490012,behavior---cardiovascular diseases---cellular phone---intervention---lifestyle change---mhealth---text messaging cois
948,25768664,ambulatory monitoring---chronic diseases---continuity of patient care---heart failure---home care services---home telemonitoring---meta-analysis---physiologic monitoring---remote consultation---remote monitoring---review---systematic review---telehealth---telemedicine---umbrella review cois
950,27312144,emergencies---hospitals---rural health services---rural hospitals
951,26540369,adherence---e-health---home health monitoring---mobile health---telehealth---usability
953,27998940,aha scientific statements---cardiovascular diseases---health services---stroke---telemedicine
957,26810595,cell phones---heart-assist devices---mobile applications---technology---telemedicine
958,26772623,apps---chronic disease---integrated practice unit---wearables
959,27690674,ilr---syncope---evaluation---implantable loop recorders---prolonged monitoring
960,27892420,cardiovascular disease---digital health---ehealth---mhealth---prevention---remote monitoring---tele-rehabilitation---telemedicine
962,26596821,cardiac resynchronization therapy---follow-up---heart failure---hospitalizations---mortality
963,25814456,cardiac care---echocardiogram---electrocardiogram---heart failure---telecardiology---telemedicine
965,26556057,home telecare---self care---telecare
966,26475050,cardiac output---estudios de seguimiento---follow-up studies---gasto cardiaco---marcapasos---pacemaker
967,27418264,triage---classification---health---medical vital signs
971,28024459,mild stroke---cerebrovascular disease---health-services---minor-stroke---non-disabling stroke
975,26337400,icd---atrial fibrillation---cardiac implantable electronic devices---follow-up---heart failure---recall management---remote monitoring---ventricular arrhythmias
976,27405809,cardiovascular disease---long‐term safety and effectiveness---mobile health
977,26759128,cardiovascular disease---telemedicine
979,27923343,cost-effectiveness---fall---information communication technologies---prevention---trial
980,26927832,cardiorespiratory instability---early warning scores---medical emergency team---nursing surveillance---physiologic monitoring---rapid response systems---vital signs
982,27813719,e-health---telehealth---telemedicine---telenursing
984,25581147,behavior---chronic disease---health---intervention---noncommunicable disease---prevention---self-management---technology
988,27826901,adolescents---cardiovascular disease---children---diabetes mellitus---mobile health technology---racial/ethnic minorities
992,26943979,cmd---cvd---cardiometabolic diseases---dss---diabetes---india---technology---mhealth
994,26037691,blood glucose---blood pressure---continuous monitoring---electrocardiogram---heart rate---remote monitoring---respiratory rate---telemedicine---vital signs
996,25755064,cardiovascular disease---position paper---telecardiology---telemedicine
997,26778415,battery longevity---defibrillators---health care costs---pacemaker---resynchronization therapy devices
998,26983900,chronic diseases---hiv---biomarkers---diabetes---heart failure---mobile health---point of care
1006,28029572,"digital---interventions---qualitative---self-management cois a not-for-profit community interest company which disseminates digital health interventions to the nhs. she has not, and will not, receive any remuneration for this work."
1009,26817628,cardiac implantable electronic devices---heart failure---remote monitoring---telemonitoring
1010,26919553,asthma---digital patient---health monitoring devices---inhaler devices---mobile health---patient models---self-management
1016,26936904,qualitative research
1017,26042888,arrhythmias---heart failure---implantable devices---monitoring---technology
1021,26842270,preventive medicine
1022,26984864,*cardiac resynchronization therapy---*disease management---*heart failure---*implantable defibrillator---*telemedicine
1025,27286984,heart failure---mhealth---telecardiology---telemonitoring---ehealth
1028,26647906,defibrillation ---pacing
1029,27650163,health economics---home telecare---telecare---telehealth---telemedicine
1030,27811332,"aha scientific statements---quality indicators, health care---stroke---telemedicine---treatment outcome"
1032,27965191,"cardiac surgery---online reviews---physician quality cois synthes, and zimmer, and teaching honoraria from synthes. tk peter-bibb, kc xie, and on okike report no conflicts of interest."
1033,26223546,distributed system---ecg data analysis---telecardiology---telemedicine
1037,26311654,telehealth---congestive heart failure---hospitalization---primary care---quality of life
1044,27391204,military medicine---technology---telehealth---telemedicine---telenursing
1045,27041078,cardiometabolic disease---latin america---mhealth
1048,26923067,cardiovascular disease---clinical counseling---mobile health---physical activity---population health management cois board of the american college of sports medicine’ exercise is medicine initiative; dr. mcconnell is currently on leave from stanford and employed by verily life sciences.
1049,27768131,screening---cardiomyopathy---echocardiogram---nursing intervention---pediatric cancer---survivors cois
1051,25962654,self care---tele-education---telecardiology---telehealth
1055,26898413,ampds---ambulance dispatch---dispatcher assisted cpr---telephone cpr---telephone assisted cpr---time to first compression
1057,26802010,cardiovascular diseases---dry electrode---electrocardiogram---human-computer interaction
1059,26414237,cardiology/cardiovascular disease---e-health---pediatrics---telecardiology
1060,26559073,facebook---e-health---electronic healthcare---healthcare networks---healthcare social networks---m-health---mobile healthcare---privacy---private social networks---role-based access control---social networks
1061,27640522,healthcare personnel---mixed methods---rural area---specialist care---video consultation
1063,25567067,arrhythmia detection---home monitoring---implantable cardioverter-defibrillator---intracardiac electrogram---remote monitoring---telemedicine
1065,28012837,nursing---acute ischemic stroke---door to needle---systems of care
1066,27860542,cardiology/cardiovascular disease---pediatrics---telecardiology---teleradiology
1070,25517540,disease management---health care costs---heart failure---telemonitoring
1073,26862151,health care informatics---health care informatics capstone---health care informatics student---remote patient monitoring---telehealth
1074,28263938,"computers---heart failure---machine learning---meta-analysis---patient readmission cois contract with the centers for medicare & medicaid services to develop and maintain performance measures. dr. dharmarajan serves on a scientific advisory board for clover health, inc. dr. krumholz is chair of a cardiac scientific advisory board for unitedhealth and is the recipient of research agreements from medtronic and johnson and johnson (janssen), to develop methods of clinical trial data sharing. the other authors report no disclosures."
1075,27422639,atrial fibrillation---electrocardiogram---mobile health---quality of life---quality-adjusted life years---self-management---smartphone
1076,27437037,telehealth---heart failure---home health---hospital readmission---hospitalization cois in this project.
1078,27198463,physical activity---telehealth---energy expenditure---energy metabolisms---instruments and apparatus---mobile health---motor activities---psychomotor performance---telemedicine
1080,27599993,cardiac rehabilitation---cardio respiratory fitness---leisure time physical activity---randomised controlled trial---telemonitoring and telecoaching---vo2
1083,25790246,cardiology/cardiovascular disease---pediatrics---telecardiology---telemedicine
1087,27591179,chronic disease---hypertension---patient engagement
1088,26319227,"cybersecurity---diabetes---medical devices---medjacking cois conflicts of interest with respect to the research, authorship, and/or publication of this article."
1090,27430710,bayesian analysis---community-based interventions---comparative effectiveness research---pragmatic clinical trials---stepped wedge design cois
1092,27487761,comorbidity---elderly people---healthcare characteristics---polypharmacy---telecare---user's profile
1094,26142641,behavior change---disease management---hf*/therapy---heart failure---remote monitoring---telemetry/*methods---telemonitoring---mhealth
1096,27623231,behavioral health---cardiology/cardiovascular disease---commercial telemedicine---m-health
1097,27892423,cardiac rehabilitation---europe---coronary heart disease---effectiveness---elderly---mhealth---telemonitoring
1098,27451860,cardiac surgery---digital health kits---outcomes---patient satisfaction---readmission reduction---surgical readmissions---telehealth
1099,26869144,remote monitoring---heart failure---mobile health---smart phones---telehealth apps
