,PMID,Publication_type
458,22894523,"research support, non-u.s. gov't"
459,23367320,journal article
459,23367320,"research support, non-u.s. gov't"
460,21401482,journal article
461,23367056,journal article
461,23367056,"research support, non-u.s. gov't"
463,22107759,comparative study
463,22107759,journal article
463,22107759,randomized controlled trial
463,22107759,"research support, non-u.s. gov't"
464,22129142,case reports
464,22129142,journal article
465,22254444,journal article
466,22255924,journal article
466,22255924,"research support, non-u.s. gov't"
467,22085317,comparative study
467,22085317,journal article
467,22085317,randomized controlled trial
467,22085317,"research support, n.i.h., extramural"
467,22085317,"research support, non-u.s. gov't"
468,22983629,news
469,20931310,journal article
469,20931310,multicenter study
470,21535119,journal article
471,21633228,journal article
472,22944075,comparative study
472,22944075,journal article
472,22944075,validation study
473,22308087,clinical trial
473,22308087,journal article
474,21586481,journal article
474,21586481,"research support, non-u.s. gov't"
475,23082793,journal article
476,22834978,journal article
476,22834978,randomized controlled trial
476,22834978,"research support, non-u.s. gov't"
477,21342805,journal article
478,23039778,journal article
479,22795364,journal article
480,22418649,journal article
481,21195490,journal article
482,23185992,journal article
482,23185992,"research support, non-u.s. gov't"
483,22926035,journal article
484,21413872,journal article
484,21413872,"research support, non-u.s. gov't"
485,21501872,journal article
485,21501872,randomized controlled trial
485,21501872,"research support, n.i.h., extramural"
486,21979603,journal article
486,21979603,"research support, non-u.s. gov't"
487,22362838,journal article
487,22362838,randomized controlled trial
487,22362838,"research support, non-u.s. gov't"
488,22821508,journal article
488,22821508,"research support, n.i.h., extramural"
489,22494815,comparative study
489,22494815,journal article
490,22718083,comparative study
490,22718083,controlled clinical trial
490,22718083,journal article
491,22190192,comparative study
491,22190192,english abstract
491,22190192,journal article
492,23112633,journal article
492,23112633,"research support, u.s. gov't, non-p.h.s."
493,22283360,journal article
493,22283360,randomized controlled trial
493,22283360,"research support, non-u.s. gov't"
494,21844176,clinical trial
494,21844176,journal article
495,23118005,comparative study
495,23118005,journal article
496,21457122,journal article
496,21457122,"research support, non-u.s. gov't"
497,22113368,journal article
497,22113368,randomized controlled trial
497,22113368,"research support, non-u.s. gov't"
498,23366362,journal article
499,21997715,journal article
500,22255018,journal article
500,22255018,"research support, non-u.s. gov't"
501,22626743,journal article
501,22626743,multicenter study
501,22626743,randomized controlled trial
501,22626743,"research support, non-u.s. gov't"
502,21444883,journal article
502,21444883,randomized controlled trial
502,21444883,"research support, non-u.s. gov't"
503,21353066,journal article
504,22922245,journal article
504,22922245,randomized controlled trial
504,22922245,"research support, u.s. gov't, p.h.s."
505,21848942,evaluation study
505,21848942,journal article
505,21848942,"research support, non-u.s. gov't"
506,22956633,journal article
506,22956633,multicenter study
506,22956633,randomized controlled trial
506,22956633,"research support, non-u.s. gov't"
507,21820792,comment
507,21820792,letter
508,21939380,journal article
509,21732211,evaluation study
509,21732211,journal article
509,21732211,"research support, non-u.s. gov't"
510,22435961,journal article
511,22864266,comparative study
511,22864266,journal article
512,22255611,journal article
513,21617643,journal article
513,21617643,"research support, non-u.s. gov't"
514,22733834,journal article
515,22127418,journal article
515,22127418,multicenter study
515,22127418,randomized controlled trial
515,22127418,"research support, non-u.s. gov't"
516,20851481,comparative study
516,20851481,journal article
516,20851481,multicenter study
517,22254620,journal article
517,22254620,"research support, non-u.s. gov't"
518,21818014,comparative study
518,21818014,evaluation study
518,21818014,journal article
518,21818014,"research support, u.s. gov't, non-p.h.s."
519,22495926,journal article
519,22495926,"research support, non-u.s. gov't"
520,21067968,journal article
520,21067968,"research support, non-u.s. gov't"
521,22255010,journal article
522,21606020,journal article
523,22254619,journal article
523,22254619,"research support, non-u.s. gov't"
524,22400969,evaluation study
524,22400969,journal article
524,22400969,"research support, non-u.s. gov't"
525,23021816,journal article
526,22827508,comparative study
526,22827508,journal article
526,22827508,"research support, non-u.s. gov't"
527,20952328,journal article
527,20952328,"research support, non-u.s. gov't"
528,23280102,historical article
528,23280102,journal article
529,23101483,comparative study
529,23101483,journal article
530,22734802,journal article
530,22734802,multicenter study
530,22734802,randomized controlled trial
530,22734802,"research support, non-u.s. gov't"
531,22544910,comparative study
531,22544910,journal article
531,22544910,multicenter study
531,22544910,"research support, non-u.s. gov't"
532,22616194,english abstract
532,22616194,journal article
532,22616194,review
533,22283357,journal article
534,22465288,journal article
534,22465288,"research support, non-u.s. gov't"
535,22413982,journal article
536,22588319,journal article
536,22588319,multicenter study
536,22588319,randomized controlled trial
536,22588319,"research support, non-u.s. gov't"
537,23242192,comparative study
537,23242192,journal article
537,23242192,multicenter study
537,23242192,randomized controlled trial
537,23242192,"research support, non-u.s. gov't"
538,21029128,journal article
539,21606019,journal article
539,21606019,"research support, non-u.s. gov't"
540,21925836,comparative study
540,21925836,evaluation study
540,21925836,journal article
540,21925836,"research support, non-u.s. gov't"
540,21925836,validation study
541,23365989,journal article
541,23365989,"research support, non-u.s. gov't"
542,22328237,journal article
542,22328237,"research support, non-u.s. gov't"
543,21484712,case reports
543,21484712,journal article
544,21993595,journal article
545,22888158,comparative study
545,22888158,journal article
545,22888158,randomized controlled trial
545,22888158,"research support, non-u.s. gov't"
546,21321467,comparative study
546,21321467,journal article
546,21321467,multicenter study
547,21349204,clinical trial
547,21349204,comparative study
547,21349204,journal article
547,21349204,multicenter study
547,21349204,randomized controlled trial
547,21349204,"research support, non-u.s. gov't"
548,21611994,evaluation study
548,21611994,journal article
548,21611994,multicenter study
549,22356529,journal article
549,22356529,"research support, non-u.s. gov't"
550,22045925,journal article
550,22045925,randomized controlled trial
550,22045925,"research support, non-u.s. gov't"
551,21139017,journal article
551,21139017,randomized controlled trial
551,21139017,"research support, non-u.s. gov't"
552,22267307,journal article
552,22267307,validation study
553,22254766,journal article
553,22254766,"research support, non-u.s. gov't"
554,23096373,english abstract
554,23096373,journal article
555,22636825,comment
555,22636825,journal article
556,21036457,comparative study
556,21036457,journal article
556,21036457,randomized controlled trial
557,21962415,journal article
557,21962415,randomized controlled trial
557,21962415,"research support, n.i.h., extramural"
558,23258817,journal article
558,23258817,multicenter study
558,23258817,randomized controlled trial
558,23258817,"research support, non-u.s. gov't"
559,21349462,journal article
560,22364308,journal article
561,21300305,journal article
561,21300305,randomized controlled trial
561,21300305,"research support, non-u.s. gov't"
562,21138933,evaluation study
562,21138933,journal article
562,21138933,"research support, non-u.s. gov't"
563,23143857,clinical trial
563,23143857,journal article
563,23143857,multicenter study
563,23143857,"research support, non-u.s. gov't"
564,22530385,journal article
564,22530385,"research support, non-u.s. gov't"
565,21406672,journal article
565,21406672,randomized controlled trial
565,21406672,"research support, non-u.s. gov't"
566,20615505,journal article
566,20615505,multicenter study
566,20615505,randomized controlled trial
567,21193439,comparative study
567,21193439,journal article
567,21193439,meta-analysis
568,20825815,journal article
569,21916616,journal article
570,21593955,journal article
571,21502279,journal article
572,21436363,congress
572,21436363,overall
573,23138083,journal article
573,23138083,"research support, non-u.s. gov't"
574,21999637,journal article
574,21999637,randomized controlled trial
575,21752280,journal article
575,21752280,multicenter study
575,21752280,randomized controlled trial
575,21752280,"research support, non-u.s. gov't"
576,21402493,comparative study
576,21402493,journal article
576,21402493,randomized controlled trial
576,21402493,"research support, non-u.s. gov't"
577,23112734,journal article
577,23112734,"research support, non-u.s. gov't"
578,22374372,journal article
578,22374372,"research support, non-u.s. gov't"
579,21733889,journal article
579,21733889,meta-analysis
579,21733889,systematic review
580,21036454,comparative study
580,21036454,journal article
580,21036454,randomized controlled trial
581,22719063,journal article
581,22719063,multicenter study
581,22719063,randomized controlled trial
582,21411210,english abstract
582,21411210,journal article
582,21411210,randomized controlled trial
583,22255016,journal article
583,22255016,"research support, n.i.h., extramural"
584,23268695,journal article
584,23268695,multicenter study
584,23268695,"research support, non-u.s. gov't"
584,23268695,"research support, u.s. gov't, non-p.h.s."
585,22199363,comparative study
585,22199363,journal article
586,21546311,case reports
586,21546311,journal article
587,21485262,journal article
588,21432787,comparative study
588,21432787,journal article
589,23153465,english abstract
589,23153465,journal article
590,22676379,journal article
591,21214393,journal article
592,22295583,news
593,21432788,comment
593,21432788,journal article
594,23074436,journal article
594,23074436,review
595,23366350,journal article
595,23366350,"research support, non-u.s. gov't"
596,22088682,journal article
597,24862840,journal article
597,24862840,meta-analysis
597,24862840,"research support, non-u.s. gov't"
597,24862840,"research support, u.s. gov't, non-p.h.s."
597,24862840,review
597,24862840,systematic review
598,25131977,journal article
598,25131977,multicenter study
598,25131977,randomized controlled trial
598,25131977,"research support, non-u.s. gov't"
599,24725308,journal article
599,24725308,multicenter study
599,24725308,randomized controlled trial
599,24725308,"research support, n.i.h., extramural"
599,24725308,"research support, non-u.s. gov't"
600,23422020,historical article
600,23422020,journal article
600,23422020,review
601,23801822,journal article
601,23801822,practice guideline
602,25079147,journal article
602,25079147,"research support, non-u.s. gov't"
602,25079147,review
603,25680492,journal article
603,25680492,review
604,23943649,journal article
604,23943649,review
604,23943649,systematic review
606,23992450,comment
606,23992450,letter
607,25488550,journal article
607,25488550,meta-analysis
607,25488550,"research support, non-u.s. gov't"
607,25488550,review
607,25488550,systematic review
608,25124013,comment
608,25124013,editorial
609,24495581,journal article
609,24495581,"research support, non-u.s. gov't"
609,24495581,review
610,24709285,journal article
610,24709285,review
611,24793803,journal article
611,24793803,review
612,25475152,comment
612,25475152,editorial
613,24763972,journal article
613,24763972,"research support, non-u.s. gov't"
613,24763972,review
613,24763972,systematic review
614,24830309,journal article
614,24830309,review
615,23597295,journal article
615,23597295,review
616,25399469,journal article
616,25399469,"research support, n.i.h., extramural"
617,24163234,journal article
617,24163234,meta-analysis
617,24163234,review
618,23519115,journal article
618,23519115,"research support, non-u.s. gov't"
618,23519115,review
619,25484461,journal article
619,25484461,review
620,24236679,comment
620,24236679,journal article
621,24081953,journal article
621,24081953,review
622,27120906,journal article
623,23018667,journal article
623,23018667,review
624,24859620,journal article
624,24859620,"research support, non-u.s. gov't"
624,24859620,review
625,23748634,journal article
625,23748634,review
626,23567766,english abstract
626,23567766,journal article
626,23567766,review
627,24565255,journal article
627,24565255,review
628,24793800,journal article
628,24793800,review
629,24578234,journal article
629,24578234,review
630,24751564,journal article
630,24751564,review
631,25161104,journal article
631,25161104,review
631,25161104,systematic review
632,24185949,journal article
632,24185949,"research support, n.i.h., extramural"
632,24185949,review
633,24454576,journal article
634,25026973,editorial
634,25026973,"research support, non-u.s. gov't"
635,24385372,journal article
636,23737221,introductory journal article
637,24218357,journal article
637,24218357,"research support, non-u.s. gov't"
638,25432484,journal article
638,25432484,review
639,23904521,journal article
639,23904521,"research support, n.i.h., extramural"
639,23904521,review
640,24163299,journal article
640,24163299,"research support, non-u.s. gov't"
640,24163299,review
640,24163299,systematic review
641,23388256,journal article
642,24534628,journal article
642,24534628,review
643,23415739,english abstract
643,23415739,journal article
643,23415739,review
644,25271050,journal article
644,25271050,"research support, non-u.s. gov't"
644,25271050,review
645,25426527,journal article
646,25298802,journal article
646,25298802,review
646,25298802,systematic review
647,25400004,journal article
647,25400004,randomized controlled trial
648,24968105,journal article
648,24968105,"research support, non-u.s. gov't"
648,24968105,review
649,24731212,comparative study
649,24731212,journal article
649,24731212,meta-analysis
649,24731212,"research support, non-u.s. gov't"
649,24731212,review
649,24731212,systematic review
650,23520339,journal article
650,23520339,randomized controlled trial
650,23520339,"research support, non-u.s. gov't"
651,24352899,journal article
651,24352899,meta-analysis
651,24352899,"research support, non-u.s. gov't"
651,24352899,review
652,23786584,journal article
652,23786584,"research support, non-u.s. gov't"
652,23786584,review
652,23786584,systematic review
653,23542945,journal article
653,23542945,review
654,25153148,letter
655,25179767,comment
655,25179767,editorial
656,23537965,journal article
656,23537965,randomized controlled trial
656,23537965,"research support, n.i.h., extramural"
656,23537965,"research support, u.s. gov't, non-p.h.s."
657,23599353,comparative study
657,23599353,controlled clinical trial
657,23599353,journal article
657,23599353,"research support, non-u.s. gov't"
658,24099334,journal article
658,24099334,randomized controlled trial
658,24099334,"research support, non-u.s. gov't"
660,25163076,journal article
660,25163076,"research support, non-u.s. gov't"
661,23663801,comment
661,23663801,journal article
662,23594932,comment
662,23594932,editorial
663,24496229,journal article
663,24496229,review
664,23334714,journal article
664,23334714,review
665,25251861,evaluation study
665,25251861,journal article
666,24681423,comparative study
666,24681423,journal article
666,24681423,meta-analysis
666,24681423,"research support, non-u.s. gov't"
666,24681423,review
666,24681423,systematic review
667,24825709,journal article
668,24984847,journal article
668,24984847,review
669,25570912,journal article
669,25570912,"research support, non-u.s. gov't"
670,25012939,journal article
670,25012939,"research support, non-u.s. gov't"
670,25012939,review
671,23666901,journal article
671,23666901,review
672,24606887,journal article
672,24606887,"research support, non-u.s. gov't"
672,24606887,review
672,24606887,systematic review
673,25354948,journal article
673,25354948,"research support, non-u.s. gov't"
673,25354948,review
674,25637942,journal article
674,25637942,review
675,23425685,journal article
675,23425685,"research support, non-u.s. gov't"
675,23425685,review
675,23425685,systematic review
676,23599169,comparative study
676,23599169,evaluation study
676,23599169,journal article
676,23599169,"research support, non-u.s. gov't"
676,23599169,review
676,23599169,systematic review
677,24163297,journal article
677,24163297,"research support, non-u.s. gov't"
677,24163297,review
678,23444424,journal article
678,23444424,randomized controlled trial
678,23444424,"research support, non-u.s. gov't"
679,24028359,comparative study
679,24028359,journal article
679,24028359,multicenter study
679,24028359,"research support, non-u.s. gov't"
680,25178501,comment
680,25178501,journal article
681,25307664,journal article
682,23737226,journal article
682,23737226,review
683,25160205,journal article
683,25160205,"research support, non-u.s. gov't"
684,23927840,journal article
684,23927840,"research support, non-u.s. gov't"
684,23927840,review
684,23927840,systematic review
685,23737234,journal article
686,24730066,journal article
686,24730066,review
687,23823394,journal article
688,25665338,journal article
689,23510059,journal article
690,24762244,journal article
691,24873944,english abstract
691,24873944,journal article
692,24103384,journal article
692,24103384,randomized controlled trial
692,24103384,"research support, non-u.s. gov't"
693,25660364,journal article
694,23384334,journal article
694,23384334,randomized controlled trial
694,23384334,"research support, non-u.s. gov't"
695,25227131,journal article
695,25227131,meta-analysis
695,25227131,"research support, non-u.s. gov't"
695,25227131,review
695,25227131,systematic review
696,23737228,journal article
697,25524348,letter
698,25510621,journal article
698,25510621,"research support, non-u.s. gov't"
699,23920836,journal article
700,24293289,journal article
701,24115996,journal article
701,24115996,"research support, non-u.s. gov't"
702,24943549,journal article
703,24112277,journal article
704,23880072,journal article
704,23880072,meta-analysis
704,23880072,"research support, non-u.s. gov't"
704,23880072,review
704,23880072,systematic review
705,24111355,journal article
705,24111355,"research support, non-u.s. gov't"
706,24817694,journal article
706,24817694,randomized controlled trial
706,24817694,"research support, non-u.s. gov't"
708,23570277,comparative study
708,23570277,journal article
708,23570277,"research support, non-u.s. gov't"
709,22580628,journal article
709,22580628,"research support, non-u.s. gov't"
710,24691540,journal article
710,24691540,"research support, non-u.s. gov't"
711,23808888,journal article
711,23808888,"research support, n.i.h., extramural"
711,23808888,"research support, non-u.s. gov't"
712,23661336,journal article
713,25069605,journal article
713,25069605,"research support, non-u.s. gov't"
714,23537980,journal article
714,23537980,randomized controlled trial
714,23537980,"research support, u.s. gov't, p.h.s."
715,25592796,journal article
715,25592796,observational study
716,25491135,journal article
716,25491135,"research support, non-u.s. gov't"
718,25366684,journal article
718,25366684,randomized controlled trial
718,25366684,"research support, n.i.h., extramural"
718,25366684,"research support, non-u.s. gov't"
719,25099031,journal article
720,23393057,journal article
720,23393057,randomized controlled trial
720,23393057,"research support, non-u.s. gov't"
721,23238623,journal article
722,23891066,journal article
723,23702986,journal article
723,23702986,"research support, non-u.s. gov't"
724,23469498,journal article
725,23964545,english abstract
